Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
Steven Adams,C,26,OKC,38,1052,22.4,.622,.003,.422,14.5,24.9,19.9,15.1,1.3,3.5,13.5,17.4,3.0,1.6,4.6,.210,2.1,3.3,5.4,2.0,2020
Bam Adebayo,C,22,MIA,41,1407,20.7,.624,.021,.533,8.8,24.1,16.9,21.1,1.7,3.4,17.8,19.9,3.2,2.3,5.5,.189,1.1,3.8,5.0,2.5,2020
LaMarcus Aldridge,C,34,SAS,38,1250,20.7,.585,.183,.230,6.4,17.6,12.0,11.2,0.8,4.5,7.8,23.0,2.8,1.0,3.8,.145,1.6,0.5,2.1,1.3,2020
Nickeil Alexander-Walker,SG,21,NOP,33,453,8.8,.451,.524,.115,1.6,15.3,8.3,20.5,1.0,0.9,12.8,22.9,-0.5,0.2,-0.3,-0.027,-3.2,-2.5,-5.7,-0.4,2020
Grayson Allen,SG,24,MEM,27,461,11.8,.589,.528,.202,1.2,12.8,7.0,11.5,0.6,0.2,11.0,18.1,0.5,0.1,0.6,.064,-0.4,-3.0,-3.4,-0.2,2020
Jarrett Allen,C,21,BRK,40,1064,21.1,.670,.011,.588,12.4,24.4,18.6,7.1,1.2,4.0,11.8,15.3,3.0,1.8,4.8,.219,0.4,2.8,3.1,1.4,2020
Kadeem Allen,SG,27,NYK,9,96,13.6,.483,.381,.190,2.1,6.8,4.3,31.3,2.0,2.0,14.9,23.5,0.0,0.0,0.0,.012,-1.4,-3.1,-4.5,-0.1,2020
Al-Farouq Aminu,PF,29,ORL,18,380,7.8,.395,.419,.337,6.4,17.9,12.0,7.6,2.3,1.9,14.7,13.2,-0.4,0.6,0.2,.025,-4.8,2.5,-2.3,0.0,2020
Justin Anderson,SF,26,BRK,3,17,-3.7,.218,.500,.333,0.0,11.7,6.0,0.0,0.0,4.9,0.0,16.9,-0.1,0.0,-0.1,-0.168,-12.7,-2.6,-15.3,-0.1,2020
Kyle Anderson,PF,26,MEM,36,603,12.6,.503,.217,.270,6.1,17.9,12.0,16.2,1.9,2.1,14.1,13.7,0.4,0.6,1.0,.077,-1.9,1.4,-0.5,0.2,2020
Ryan Anderson,PF,31,HOU,2,14,9.7,.357,.714,.000,0.0,51.2,25.7,20.1,3.3,0.0,12.5,23.4,0.0,0.0,0.0,-0.022,-7.0,1.8,-5.2,0.0,2020
