Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
Steven Adams,C,26,OKC,38,38,1052,6.4,10.4,.617,0.0,0.0,.000,6.4,10.3,.619,2.5,4.4,.570,4.6,8.3,13.0,3.5,0.9,1.5,1.9,2.3,15.3,2020
Bam Adebayo,C,22,MIA,41,41,1407,6.4,10.8,.587,0.0,0.2,.111,6.3,10.6,.598,3.9,5.8,.681,2.7,8.2,10.9,4.8,1.3,1.3,2.9,2.7,16.7,2020
LaMarcus Aldridge,C,34,SAS,38,38,1250,8.2,16.2,.507,1.3,3.0,.437,6.9,13.2,.523,3.1,3.7,.845,2.2,6.0,8.2,2.6,0.6,1.9,1.5,2.7,20.9,2020
Nickeil Alexander-Walker,SG,21,NOP,33,0,453,5.7,16.5,.346,3.0,8.7,.349,2.7,7.9,.343,1.2,1.9,.625,0.6,5.1,5.6,5.2,0.8,0.4,2.5,3.2,15.7,2020
Grayson Allen,SG,24,MEM,27,0,461,5.8,12.7,.454,2.6,6.7,.384,3.2,6.0,.532,2.2,2.6,.848,0.4,4.4,4.8,3.0,0.5,0.1,1.7,2.7,16.3,2020
Jarrett Allen,C,21,BRK,40,36,1064,6.1,9.3,.657,0.0,0.1,.000,6.1,9.2,.664,3.5,5.4,.634,4.3,8.9,13.1,1.7,0.9,1.7,1.6,3.3,15.6,2020
Kadeem Allen,SG,27,NYK,9,0,96,6.4,15.8,.405,1.9,6.0,.313,4.5,9.7,.462,1.9,3.0,.625,0.7,2.3,3.0,7.1,1.5,0.7,3.0,2.6,16.5,2020
Al-Farouq Aminu,PF,29,ORL,18,2,380,2.4,8.1,.291,0.9,3.4,.250,1.5,4.7,.320,1.8,2.7,.655,2.3,6.0,8.2,2.0,1.7,0.8,1.6,2.6,7.4,2020
Justin Anderson,SF,26,BRK,3,0,17,2.1,12.7,.167,0.0,6.4,.000,2.1,6.4,.333,2.1,4.2,.500,0.0,4.2,4.2,0.0,0.0,2.1,0.0,4.2,6.4,2020
Kyle Anderson,PF,26,MEM,36,3,603,4.1,9.1,.454,0.4,2.0,.212,3.7,7.1,.521,1.6,2.4,.634,2.0,6.1,8.1,4.5,1.5,0.9,1.7,3.0,10.2,2020
Ryan Anderson,PF,31,HOU,2,0,14,5.1,18.0,.286,2.6,12.9,.200,2.6,5.1,.500,0.0,0.0,,0.0,18.0,18.0,5.1,2.6,0.0,2.6,2.6,12.9,2020
Giannis Antetokounmpo,PF,25,MIL,40,40,1230,12.9,23.3,.552,1.9,6.0,.324,10.9,17.4,.631,7.5,12.2,.615,2.8,12.3,15.0,6.5,1.3,1.3,4.0,3.7,35.2,2020
Kostas Antetokounmpo,PF,22,LAL,3,0,5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,7.2,7.2,7.2,0.0,0.0,0.0,0.0,0.0,2020
Thanasis Antetokounmpo,SF,27,MIL,13,0,55,7.2,13.1,.550,0.0,1.3,.000,7.2,11.8,.611,2.6,5.2,.500,3.9,0.7,4.6,3.9,0.7,0.7,3.3,4.6,17.0,2020
Carmelo Anthony,PF,35,POR,28,28,892,7.1,15.9,.443,1.7,4.4,.391,5.3,11.5,.463,2.8,3.4,.833,1.3,5.8,7.1,1.5,1.1,0.6,2.0,3.4,18.7,2020
OG Anunoby,SF,22,TOR,40,39,1203,5.5,10.9,.504,1.7,4.6,.379,3.7,6.3,.595,1.0,1.5,.647,1.2,5.7,6.9,2.0,1.4,0.8,1.6,3.0,13.7,2020
Ryan Arcidiacono,PG,25,CHI,39,0,586,3.1,8.2,.383,2.0,4.9,.400,1.2,3.3,.358,1.1,1.5,.750,0.9,3.3,4.2,3.6,1.0,0.1,1.4,4.0,9.3,2020
Trevor Ariza,SF,34,SAC,32,0,791,2.9,7.5,.388,2.0,5.6,.352,1.0,2.0,.488,1.0,1.2,.778,1.0,5.7,6.6,2.3,1.6,0.3,1.3,2.9,8.7,2020
D.J. Augustin,PG,32,ORL,39,6,1013,4.5,11.6,.393,1.7,4.8,.346,2.9,6.8,.426,4.1,4.6,.877,0.5,2.8,3.4,6.5,1.0,0.0,1.9,1.6,14.8,2020
Deandre Ayton,C,21,PHO,11,6,340,9.1,16.3,.558,0.0,0.1,.000,9.1,16.2,.562,1.4,1.8,.765,4.3,9.6,14.0,2.1,0.5,1.9,2.0,3.5,19.6,2020
Dwayne Bacon,SG,24,CHO,34,10,621,4.9,13.4,.364,1.1,3.8,.292,3.8,9.6,.392,1.9,3.0,.647,0.8,4.2,4.9,2.6,1.2,0.1,1.8,2.8,12.8,2020
Marvin Bagley,PF,20,SAC,11,4,265,8.6,18.3,.467,0.4,2.3,.176,8.2,16.0,.508,3.3,4.1,.800,2.9,7.3,10.2,1.0,0.5,1.4,2.2,4.8,20.8,2020
Lonzo Ball,PG,22,NOP,34,25,1037,5.4,13.7,.392,2.6,7.5,.352,2.7,6.2,.441,0.8,1.5,.512,1.4,5.2,6.6,7.3,1.4,0.4,3.2,2.3,14.2,2020
Mo Bamba,C,21,ORL,38,0,585,5.1,11.6,.439,1.4,4.4,.306,3.8,7.2,.521,0.9,1.5,.625,3.5,9.0,12.5,1.5,0.9,3.0,2.0,4.5,12.5,2020
J.J. Barea,PG,35,DAL,12,3,187,8.3,18.1,.457,3.7,7.7,.475,4.6,10.4,.444,1.0,1.0,1.000,1.0,3.3,4.2,7.5,0.6,0.2,2.9,1.2,21.2,2020
Harrison Barnes,PF,27,SAC,41,41,1441,5.4,11.9,.452,1.4,3.9,.354,4.0,8.0,.500,3.6,4.5,.794,0.9,4.0,5.0,2.3,0.7,0.1,1.3,1.2,15.8,2020
RJ Barrett,SG,19,NYK,41,41,1281,5.9,15.0,.393,1.3,4.0,.329,4.6,11.0,.417,3.1,5.2,.603,1.2,4.8,6.0,2.8,1.2,0.4,2.5,2.6,16.2,2020
