Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Year
Steven Adams,C,26,OKC,38,38,1052,8.7,14.0,.617,0.0,0.0,.000,8.7,14.0,.619,3.4,5.9,.570,6.3,11.3,17.6,4.7,1.3,2.0,2.6,3.2,20.7,126,106,2020
Bam Adebayo,C,22,MIA,41,41,1407,8.6,14.7,.587,0.0,0.3,.111,8.6,14.4,.598,5.3,7.8,.681,3.6,11.1,14.7,6.6,1.7,1.7,3.9,3.6,22.7,119,104,2020
LaMarcus Aldridge,C,34,SAS,38,38,1250,10.9,21.4,.507,1.7,3.9,.437,9.2,17.5,.523,4.2,4.9,.845,2.9,8.0,10.9,3.5,0.8,2.5,2.0,3.5,27.6,118,111,2020
Nickeil Alexander-Walker,SG,21,NOP,33,0,453,7.4,21.4,.346,3.9,11.2,.349,3.5,10.2,.343,1.5,2.5,.625,0.7,6.6,7.3,6.7,1.0,0.5,3.3,4.1,20.3,93,114,2020
Grayson Allen,SG,24,MEM,27,0,461,7.5,16.5,.454,3.3,8.7,.384,4.1,7.8,.532,2.8,3.3,.848,0.5,5.7,6.2,3.9,0.6,0.1,2.2,3.5,21.1,111,116,2020
Jarrett Allen,C,21,BRK,40,36,1064,8.0,12.1,.657,0.0,0.1,.000,8.0,12.0,.664,4.5,7.1,.634,5.6,11.6,17.2,2.2,1.2,2.3,2.0,4.4,20.4,131,104,2020
Kadeem Allen,SG,27,NYK,9,0,96,8.6,21.1,.405,2.5,8.0,.313,6.0,13.1,.462,2.5,4.0,.625,1.0,3.0,4.0,9.6,2.0,1.0,4.0,3.5,22.1,100,115,2020
Al-Farouq Aminu,PF,29,ORL,18,2,380,3.2,11.1,.291,1.2,4.6,.250,2.1,6.4,.320,2.4,3.7,.655,3.1,8.1,11.2,2.7,2.3,1.0,2.2,3.5,10.0,88,105,2020
Justin Anderson,SF,26,BRK,3,0,17,2.8,16.6,.167,0.0,8.3,.000,2.8,8.3,.333,2.8,5.5,.500,0.0,5.5,5.5,0.0,0.0,2.8,0.0,5.5,8.3,50,110,2020
Kyle Anderson,PF,26,MEM,36,3,603,5.3,11.7,.454,0.5,2.5,.212,4.8,9.2,.521,2.0,3.2,.634,2.6,7.9,10.5,5.9,1.9,1.2,2.2,3.9,13.2,109,111,2020
Ryan Anderson,PF,31,HOU,2,0,14,6.6,23.2,.286,3.3,16.6,.200,3.3,6.6,.500,0.0,0.0,,0.0,23.2,23.2,6.6,3.3,0.0,3.3,3.3,16.6,79,97,2020
Giannis Antetokounmpo,PF,25,MIL,40,40,1230,16.4,29.7,.552,2.5,7.6,.324,13.9,22.1,.631,9.5,15.5,.615,3.5,15.7,19.2,8.2,1.7,1.6,5.0,4.7,44.8,118,97,2020
Kostas Antetokounmpo,PF,22,LAL,3,0,5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,9.6,9.6,9.6,0.0,0.0,0.0,0.0,0.0,226,109,2020
Thanasis Antetokounmpo,SF,27,MIL,13,0,55,9.2,16.7,.550,0.0,1.7,.000,9.2,15.0,.611,3.3,6.7,.500,5.0,0.8,5.8,5.0,0.8,0.8,4.2,5.8,21.7,107,108,2020
Carmelo Anthony,PF,35,POR,28,28,892,9.3,21.0,.443,2.3,5.9,.391,7.0,15.2,.463,3.7,4.5,.833,1.7,7.7,9.3,2.0,1.4,0.8,2.6,4.5,24.7,104,112,2020
OG Anunoby,SF,22,TOR,40,39,1203,7.3,14.4,.504,2.3,6.1,.379,5.0,8.4,.595,1.3,2.0,.647,1.6,7.6,9.2,2.7,1.9,1.1,2.1,4.0,18.2,111,104,2020
Ryan Arcidiacono,PG,25,CHI,39,0,586,4.2,10.9,.383,2.6,6.6,.400,1.6,4.4,.358,1.5,2.0,.750,1.1,4.4,5.6,4.8,1.3,0.2,1.8,5.3,12.5,109,111,2020
Trevor Ariza,SF,34,SAC,32,0,791,4.0,10.2,.388,2.7,7.6,.352,1.3,2.7,.488,1.3,1.7,.778,1.3,7.7,9.1,3.1,2.2,0.4,1.7,3.9,11.9,108,110,2020
D.J. Augustin,PG,32,ORL,39,6,1013,6.2,15.7,.393,2.3,6.6,.346,3.9,9.2,.426,5.5,6.3,.877,0.7,3.9,4.6,8.9,1.3,0.0,2.6,2.1,20.1,114,111,2020
Deandre Ayton,C,21,PHO,11,6,340,11.9,21.3,.558,0.0,0.1,.000,11.9,21.1,.562,1.8,2.3,.765,5.7,12.6,18.2,2.8,0.7,2.5,2.6,4.6,25.6,112,107,2020
Dwayne Bacon,SG,24,CHO,34,10,621,6.7,18.5,.364,1.5,5.2,.292,5.2,13.3,.392,2.6,4.1,.647,1.0,5.8,6.8,3.6,1.7,0.2,2.5,3.8,17.6,89,114,2020
Marvin Bagley,PF,20,SAC,11,4,265,11.7,25.0,.467,0.6,3.1,.176,11.1,21.8,.508,4.4,5.6,.800,3.9,10.0,13.9,1.3,0.7,1.9,3.0,6.5,28.3,101,110,2020
Lonzo Ball,PG,22,NOP,34,25,1037,7.0,17.8,.392,3.4,9.7,.352,3.6,8.1,.441,1.0,1.9,.512,1.8,6.7,8.5,9.4,1.8,0.5,4.1,2.9,18.4,101,113,2020
Mo Bamba,C,21,ORL,38,0,585,6.9,15.8,.439,1.8,6.0,.306,5.1,9.8,.521,1.3,2.0,.625,4.8,12.2,16.9,2.0,1.3,4.1,2.8,6.1,16.9,100,101,2020
J.J. Barea,PG,35,DAL,12,3,187,11.2,24.5,.457,4.9,10.4,.475,6.2,14.1,.444,1.3,1.3,1.000,1.3,4.4,5.7,10.2,0.8,0.3,3.9,1.6,28.6,116,114,2020
Harrison Barnes,PF,27,SAC,41,41,1441,7.3,16.3,.452,1.9,5.4,.354,5.4,10.9,.500,4.9,6.1,.794,1.3,5.5,6.8,3.1,0.9,0.2,1.8,1.7,21.5,114,114,2020
RJ Barrett,SG,19,NYK,41,41,1281,7.9,20.1,.393,1.8,5.4,.329,6.1,14.7,.417,4.2,6.9,.603,1.7,6.4,8.1,3.8,1.6,0.6,3.4,3.5,21.8,93,114,2020
Will Barton,SF,29,DEN,38,38,1269,8.5,18.9,.451,2.5,6.8,.371,6.0,12.1,.495,2.7,3.5,.758,2.3,7.8,10.1,5.4,1.6,0.8,2.1,3.1,22.3,113,107,2020
Keita Bates-Diop,SF,24,MIN,29,0,525,6.2,14.7,.418,2.5,6.9,.364,3.7,7.8,.466,3.6,5.0,.714,1.5,6.3,7.8,1.5,1.2,1.2,1.0,2.6,18.4,112,111,2020
Nicolas Batum,SF,31,CHO,20,2,454,2.8,7.8,.366,1.4,4.9,.289,1.4,2.8,.500,0.7,0.7,1.000,2.2,7.4,9.6,6.5,1.7,0.9,2.3,4.0,7.8,106,112,2020
Aron Baynes,C,33,PHO,32,25,744,9.2,18.4,.497,2.6,7.7,.336,6.6,10.7,.612,2.8,3.9,.721,3.4,8.5,11.9,3.9,0.4,1.2,2.4,7.3,23.7,115,111,2020
Kent Bazemore,SF,30,POR,43,21,1111,4.8,13.9,.347,2.4,7.3,.327,2.4,6.6,.368,2.5,3.1,.806,0.6,6.8,7.4,2.6,1.9,1.3,2.6,5.2,14.5,91,111,2020
Darius Bazley,PF,19,OKC,42,6,706,4.4,12.2,.362,1.9,5.9,.314,2.6,6.3,.407,1.2,1.9,.643,1.0,9.3,10.3,1.5,1.0,1.9,2.6,2.8,12.0,84,107,2020
Bradley Beal,SG,26,WAS,34,34,1207,12.2,27.9,.437,3.2,10.3,.313,8.9,17.6,.510,8.0,9.6,.835,1.4,4.6,6.0,8.3,1.3,0.4,4.3,3.0,35.6,110,118,2020
Malik Beasley,SG,23,DEN,31,0,518,8.0,19.6,.408,4.2,10.6,.396,3.8,9.1,.421,1.4,1.6,.882,0.6,4.4,5.0,2.9,1.6,0.5,2.4,3.4,21.6,101,110,2020
Marco Belinelli,SG,33,SAS,36,0,536,6.0,17.0,.356,2.9,8.8,.333,3.1,8.2,.380,2.0,2.7,.733,0.2,4.9,5.1,4.0,0.7,0.0,1.2,2.4,17.0,99,117,2020
Jordan Bell,C,25,MIN,24,0,219,6.2,12.0,.518,0.4,1.7,.250,5.8,10.3,.563,3.6,6.2,.586,5.8,9.8,15.6,3.0,0.4,1.9,3.8,3.0,16.5,106,110,2020
DeAndre' Bembry,SG,25,ATL,41,4,878,5.4,11.8,.459,0.8,3.3,.238,4.6,8.4,.547,1.2,2.3,.523,1.7,6.0,7.8,4.2,2.7,1.0,3.0,4.2,12.8,95,111,2020
Dragan Bender,SF,22,MIL,4,0,50,5.5,10.1,.545,1.8,4.6,.400,3.7,5.5,.667,0.9,0.9,1.000,0.0,8.3,8.3,4.6,0.0,2.8,0.9,9.2,13.8,132,103,2020
Dāvis Bertāns,PF,27,WAS,32,4,939,7.9,18.2,.433,5.9,13.8,.428,2.0,4.4,.449,2.5,2.8,.877,1.2,6.5,7.7,2.7,1.0,1.0,1.4,4.1,24.1,121,117,2020
Patrick Beverley,PG,31,LAC,34,34,975,5.0,11.9,.421,2.4,7.0,.342,2.6,4.9,.535,1.1,1.7,.611,2.2,7.7,9.9,6.4,2.1,1.1,2.1,5.2,13.5,114,105,2020
Khem Birch,C,27,ORL,28,17,603,3.2,6.6,.488,0.0,0.1,.000,3.2,6.6,.494,2.3,4.0,.560,4.0,7.0,11.1,2.4,1.1,1.5,1.6,4.8,8.7,112,107,2020
Goga Bitadze,C,20,IND,33,2,311,6.3,13.2,.476,0.6,3.5,.182,5.7,9.7,.581,3.0,4.2,.704,3.1,8.8,11.9,2.7,0.3,3.9,2.7,6.9,16.2,104,105,2020
Bismack Biyombo,C,27,CHO,41,25,803,7.6,14.0,.542,0.0,0.0,,7.6,14.0,.542,4.4,7.2,.612,6.0,9.2,15.2,2.2,0.6,2.1,2.2,5.6,19.6,117,112,2020
Nemanja Bjelica,PF,31,SAC,41,38,1127,8.3,17.3,.480,3.6,8.2,.434,4.7,9.1,.522,1.6,1.9,.837,2.7,9.0,11.7,4.5,1.6,1.0,2.7,5.4,21.8,115,109,2020
Eric Bledsoe,PG,30,MIL,35,35,908,9.9,20.7,.477,2.3,6.5,.359,7.6,14.3,.530,4.8,5.8,.835,1.3,6.8,8.1,9.1,1.6,1.0,3.9,3.8,27.0,114,103,2020
Bogdan Bogdanović,SG,27,SAC,30,0,842,9.2,21.6,.426,4.6,12.0,.383,4.6,9.6,.479,2.3,3.4,.661,0.6,4.6,5.2,6.3,1.9,0.5,3.6,3.6,25.3,105,112,2020
Bojan Bogdanović,SF,30,UTA,40,40,1335,10.1,22.5,.449,4.3,10.5,.410,5.8,11.9,.483,6.1,6.7,.903,0.9,5.2,6.1,3.0,0.9,0.2,4.0,2.6,30.6,109,110,2020
Jonah Bolden,PF,24,PHI,2,0,5,9.7,9.7,1.000,0.0,0.0,,9.7,9.7,1.000,0.0,19.4,.000,0.0,0.0,0.0,0.0,9.7,0.0,9.7,0.0,19.4,46,94,2020
Jordan Bone,PG,22,DET,4,0,14,6.9,24.3,.286,0.0,6.9,.000,6.9,17.4,.400,0.0,0.0,,0.0,0.0,0.0,10.4,0.0,0.0,6.9,6.9,13.9,63,120,2020
Isaac Bonga,SF,20,WAS,36,24,620,4.5,8.4,.536,0.7,2.0,.346,3.8,6.5,.593,2.5,3.3,.750,2.8,6.2,9.0,3.0,1.8,0.8,1.7,6.0,12.2,123,116,2020
Devin Booker,SG,23,PHO,38,38,1362,11.9,23.6,.505,2.4,6.9,.357,9.5,16.7,.566,8.1,8.9,.914,0.8,4.3,5.1,8.3,1.0,0.3,5.0,4.0,34.4,115,114,2020
Chris Boucher,PF,27,TOR,37,0,480,7.7,17.0,.453,2.0,6.2,.323,5.7,10.8,.528,5.2,7.1,.732,7.1,9.4,16.5,1.6,1.3,3.4,1.6,6.4,22.5,122,101,2020
Brian Bowen,SG,21,IND,3,0,10,4.9,19.5,.250,0.0,4.9,.000,4.9,14.6,.333,0.0,0.0,,0.0,4.9,4.9,0.0,0.0,4.9,0.0,0.0,9.8,54,107,2020
Ky Bowman,PG,22,GSW,36,10,810,6.4,15.5,.412,1.8,5.3,.348,4.5,10.2,.445,1.4,1.7,.828,1.1,4.4,5.4,6.1,2.1,0.3,2.7,4.8,16.0,99,113,2020
Avery Bradley,SG,29,LAL,27,22,637,6.8,15.0,.455,1.6,5.3,.296,5.3,9.7,.543,0.7,0.9,.750,1.0,3.8,4.7,2.3,1.8,0.2,2.3,4.8,15.9,98,108,2020
Tony Bradley,C,22,UTA,30,2,300,9.0,14.5,.622,0.0,0.0,,9.0,14.5,.622,2.9,4.5,.643,7.6,11.6,19.2,1.5,1.3,2.3,2.7,9.7,21.0,124,103,2020
Jarrell Brantley,PF,23,UTA,2,0,9,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,21.5,21.5,5.4,0.0,10.8,5.4,5.4,0.0,47,89,2020
Ignas Brazdeikis,SF,21,NYK,9,0,53,5.5,20.0,.273,0.9,8.2,.111,4.6,11.8,.385,3.6,4.6,.800,1.8,2.7,4.6,3.6,0.0,0.9,1.8,2.7,15.5,82,120,2020
Mikal Bridges,SF,23,PHO,41,4,944,5.3,10.4,.514,1.0,3.4,.294,4.3,7.0,.621,2.8,3.5,.800,1.6,6.2,7.9,2.8,2.8,0.8,1.9,4.1,14.4,115,108,2020
Miles Bridges,SF,21,CHO,44,44,1336,7.8,17.5,.443,2.4,6.9,.346,5.4,10.7,.505,2.2,2.7,.795,2.1,6.9,9.0,3.0,1.0,1.2,2.7,3.6,20.1,102,114,2020
Oshae Brissett,SF,21,TOR,13,0,113,4.7,12.7,.367,1.3,5.1,.250,3.4,7.6,.444,2.1,2.5,.833,3.4,5.1,8.5,1.7,1.3,0.4,1.7,6.4,12.7,99,107,2020
Ryan Broekhoff,SG,29,DAL,10,0,77,7.0,15.8,.440,6.3,12.6,.500,0.6,3.2,.200,3.2,3.8,.833,0.6,8.2,8.9,2.5,1.3,0.6,1.3,4.4,23.4,131,110,2020
Malcolm Brogdon,PG,27,IND,30,30,920,10.1,22.7,.444,2.3,6.6,.344,7.8,16.1,.485,5.7,6.2,.923,1.1,6.0,7.2,11.9,1.3,0.3,4.2,3.0,28.2,112,109,2020
Dillon Brooks,SG,24,MEM,42,42,1175,9.2,22.1,.415,3.6,9.2,.391,5.6,12.9,.433,3.6,4.3,.843,1.5,3.9,5.5,3.4,1.6,0.6,2.6,6.4,25.6,104,114,2020
Bruce Brown,SG,23,DET,41,32,1121,5.9,13.6,.436,1.0,2.9,.328,5.0,10.7,.466,2.7,3.9,.681,1.7,6.1,7.8,6.9,2.2,1.0,3.0,4.7,15.5,105,111,2020
Charlie Brown,SG,22,ATL,5,0,27,5.2,17.2,.300,3.4,6.9,.500,1.7,10.3,.167,8.6,8.6,1.000,3.4,3.4,6.9,1.7,0.0,3.4,0.0,0.0,22.4,124,116,2020
Jaylen Brown,SF,23,BOS,35,35,1169,10.5,21.3,.492,3.0,7.7,.395,7.5,13.7,.547,4.9,6.5,.756,1.6,8.3,9.9,3.3,1.7,0.4,3.3,4.2,28.9,112,106,2020
Moses Brown,C,20,POR,6,0,21,9.1,20.4,.444,0.0,0.0,,9.1,20.4,.444,4.5,9.1,.500,4.5,18.1,22.6,0.0,2.3,0.0,4.5,9.1,22.6,87,104,2020
Sterling Brown,SF,24,MIL,30,0,470,5.5,14.2,.384,2.5,7.4,.342,2.9,6.8,.429,2.2,2.9,.767,2.0,9.8,11.7,2.9,1.9,0.4,2.7,3.4,15.7,98,101,2020
Troy Brown,SG,20,WAS,38,14,982,7.3,15.9,.461,1.3,4.1,.322,6.0,11.8,.510,2.8,3.7,.769,2.2,8.7,10.9,3.7,2.5,0.2,2.1,3.4,18.9,109,114,2020
Jalen Brunson,PG,23,DAL,42,8,707,8.3,18.2,.457,1.9,6.1,.318,6.4,12.2,.525,2.5,3.2,.787,1.2,5.6,6.8,9.4,1.2,0.2,3.0,3.8,21.1,114,112,2020
Thomas Bryant,C,22,WAS,21,20,555,9.1,16.5,.548,0.9,3.1,.297,8.1,13.4,.606,3.4,4.5,.741,3.8,9.6,13.4,4.2,0.8,1.5,2.3,4.0,22.4,120,115,2020
Reggie Bullock,SG,28,NYK,8,5,189,7.9,19.9,.397,3.3,10.2,.325,4.6,9.7,.474,1.0,1.3,.800,1.3,1.8,3.1,3.1,3.3,0.0,0.3,4.1,20.2,110,114,2020
Trey Burke,PG,27,PHI,22,0,311,9.0,18.9,.479,2.5,5.6,.444,6.6,13.3,.494,2.0,2.8,.722,2.2,3.1,5.3,7.8,1.1,0.2,1.9,3.0,22.6,120,111,2020
Alec Burks,SG,28,GSW,40,16,1165,8.3,20.4,.408,2.7,7.4,.367,5.6,13.0,.432,6.7,7.5,.896,1.3,6.4,7.6,5.1,1.8,0.5,2.7,3.7,26.1,110,113,2020
Deonte Burton,SG,26,OKC,24,0,189,5.4,17.3,.313,1.3,8.3,.156,4.1,9.0,.457,1.0,1.8,.571,1.3,6.7,8.0,2.3,0.8,1.3,1.5,5.4,13.2,79,110,2020
Jimmy Butler,SF,30,MIA,36,36,1263,8.2,18.6,.444,1.0,3.7,.271,7.2,14.8,.487,10.8,13.1,.823,2.7,7.0,9.8,8.9,2.6,0.8,3.4,1.8,28.3,122,106,2020
Bruno Caboclo,SF,24,MEM,22,0,192,6.8,16.7,.406,1.0,6.1,.160,5.8,10.7,.545,0.5,0.7,.667,4.1,6.5,10.7,2.4,2.4,2.9,1.7,5.6,15.0,97,108,2020
Kentavious Caldwell-Pope,SG,26,LAL,41,20,1041,6.4,13.7,.465,2.7,6.3,.428,3.7,7.4,.497,2.4,2.9,.813,1.1,3.0,4.2,3.4,1.5,0.4,1.7,3.5,17.9,118,109,2020
Vlatko Čančar,SF,22,DEN,7,0,12,4.1,12.3,.333,0.0,4.1,.000,4.1,8.2,.500,8.2,8.2,1.000,4.1,0.0,4.1,8.2,0.0,0.0,0.0,4.1,16.5,138,117,2020
Clint Capela,C,25,HOU,33,33,1108,9.0,14.1,.637,0.0,0.0,,9.0,14.1,.637,2.2,3.9,.565,5.8,14.2,20.0,1.7,1.3,2.4,2.3,3.7,20.1,126,104,2020
